inn,brand_name,brand_key,sponsor,authority,route_final,form_canon,sponsor_class,strength_raw,total_mg,total_volume_ml,conc_mg_per_ml,presentation_type,presentation_idx,most_recent_nct_id,most_recent_phase
burosumab,CRYSVITA,CRYSVITA,"Kyowa Kirin, Inc.",FDA,SC,solution,originator,"10 mg/mL, 20 mg/mL, or 30 mg/mL",,,30.0,liquid,2,NCT03775187,Approved
canakinumab,GUNA-HEMORRHOIDS,GUNA-HEMORRHOIDS,Guna spa,FDA,OTHER,solution,biosimilar,,,,,,0,UNKNOWN,Approved
canakinumab,CITOMIX,CITOMIX,Guna spa,FDA,OTHER,other,biosimilar,in 4 g,,,,other,0,UNKNOWN,Approved
canakinumab,GUNA-SLEEP,GUNA-SLEEP,Guna spa,FDA,OTHER,solution,biosimilar,4 [hp_C] in 30 mL,4.0,30.0,0.1333333333333333,liquid,0,UNKNOWN,Approved
canakinumab,ILARIS,ILARIS,Novartis Pharmaceuticals Corporation,FDA,SC,solution,originator,150 mg/mL,,,150.0,liquid,0,NCT04789681,Phase 2
canakinumab,GUNA-DERMO,GUNA-DERMO,Guna spa,FDA,OTHER,solution,biosimilar,in 30 mL,,30.0,,liquid,0,UNKNOWN,Approved
canakinumab,GUNA-ANTI IL 1,GUNA-ANTI IL 1,Guna spa,FDA,OTHER,solution,biosimilar,in 30 mL,,30.0,,liquid,0,UNKNOWN,Approved
cemiplimab,LIBTAYO,LIBTAYO,"Regeneron Pharmaceuticals, Inc.",FDA,IV,solution,originator,350 mg/7 mL (50 mg/mL),350.0,7.0,50.0,liquid,0,NCT07387198,Phase 2
cetuximab,ERBITUX,ERBITUX,ImClone LLC,FDA,IV,solution,originator,100 mg/50 mL (2 mg/mL) or 200 mg/100 mL (2 mg/mL),100.0,50.0,2.0,liquid,0,NCT02128906,Phase 2
cetuximab,ERBITUX,ERBITUX,ImClone LLC,FDA,IV,solution,originator,100 mg/50 mL (2 mg/mL) or 200 mg/100 mL (2 mg/mL),200.0,100.0,2.0,liquid,1,NCT02128906,Phase 2
clesrovimab,ENFLONSIA,ENFLONSIA,Merck Sharp & Dohme LLC,FDA,IM,prefilled_syringe,originator,105 mg/0.7 mL,105.0,0.7,150.0,liquid,0,UNKNOWN,Approved
concizumab,Alhemo,ALHEMO,Novo Nordisk Inc.,FDA,SC,prefilled_syringe,originator,60 mg/1.5 mL (40 mg/mL),60.0,1.5,40.0,liquid,0,NCT06285071,Approved
cosibelimab,UNLOXCYT,UNLOXCYT,"Sun Pharmaceutical Industries, Inc.",FDA,IV,solution,originator,300 mg/5 mL (60 mg/mL),300.0,5.0,60.0,liquid,0,UNKNOWN,Approved
crizanlizumab,ADAKVEO,ADAKVEO,Novartis Pharmaceuticals Corporation,FDA,IV,solution,originator,100 mg/10 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT04611880,Phase 2
dalotuzumab,GROWTH HORMONE DROPS,GROWTH HORMONE DROPS,Professional Complementary Health Formulas,FDA,OTHER,solution,originator,,,,,,0,UNKNOWN,Approved
dalotuzumab,CELL ENERGY PERFORMANCE DROPS,CELL ENERGY PERFORMANCE DROPS,Professional Complementary Health Formulas,FDA,OTHER,solution,biosimilar,2 FL. OZ. (59 mL),,59.0,,liquid,0,UNKNOWN,Approved
daratumumab,DARZALEX FASPRO,DARZALEX FASPRO,"Janssen Biotech, Inc.",FDA,SC,solution,biosimilar,"1,800 mg daratumumab and 30,000 units hyaluronidase per 15 mL (120 mg and 2,000 units/mL) solution in a single-dose vial",1800.0,15.0,120.0,liquid,0,NCT07222761,Phase 3
daratumumab,DARZALEX,DARZALEX,"Janssen Biotech, Inc.",FDA,IV,solution,originator,20 mg/mL,,,20.0,liquid,0,NCT04972942,Phase 1
datopotamab,DATROWAY,DATROWAY,Daiichi Sankyo Inc.,FDA,IV,lyophilized_powder,originator,For injection: 100 mg lyophilized powder in a single-dose vial.,100.0,,,lyophilized_reconstituted,0,NCT07357597,Phase 4
denosumab,STOBOCLO,STOBOCLO,"CELLTRION USA, Inc.",FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,BOSAYA,BOSAYA,Biocon Biologics Inc.,FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,BONCRESA,BONCRESA,Amneal Pharmaceuticals LLC,FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,CONEXXENCE,CONEXXENCE,"Fresenius Kabi USA, LLC",FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,BOMYNTRA,BOMYNTRA,"Fresenius Kabi USA, LLC",FDA,SC,prefilled_syringe,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
denosumab,PROLIA,PROLIA,"Amgen, Inc",FDA,SC,prefilled_syringe,originator,60 mg/mL,,,60.0,liquid,0,NCT04067726,Phase 2
denosumab,JUBBONTI,JUBBONTI,Sandoz Inc,FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,AUKELSO,AUKELSO,Biocon Biologics Inc.,FDA,SC,solution,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
denosumab,XGEVA,XGEVA,"Amgen, Inc",FDA,SC,solution,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,NCT03401060,Phase 3
denosumab,WYOST,WYOST,Sandoz Inc,FDA,SC,solution,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
