inn,ch1_isotype,lc_type,highest_clin_trial,est_status,target_antigen,origin,has_fda_approved,has_ema_approved,has_iv_sc_product,n_biosimilars
cafelkibart,G1,Kappa,Phase-II,Active,CCR8/CKR-L1/CDw198,Humanised,False,False,False,0
calpurbatug,G1,Kappa,Phase-I,Active,Bacteria Proteins HU and IHF,Genetically human,False,False,False,0
calotatug,G1,Kappa,Phase-I,Active,ERBB2/CD340/HER2,Genetically human,False,False,False,0
camoteskimab,G1,Kappa,Phase-II,Active,IL18,Genetically human,False,False,False,0
camrelizumab,G4,Kappa,Approved,Active,PDCD1/CD279/PD1,Humanised,False,False,False,0
canakinumab,G1,Kappa,Approved,Active,IL1B,Genetically human,True,True,False,5
canrivitug,G1,Lambda,TBC,Discontinued,SARS-CoV-2 RBD,Genetically human,False,False,False,0
carlumab,G1,Kappa,Phase-II,Discontinued,CCL2/MCP1,Genetically human,False,False,False,0
carotuximab,G1,Kappa,Phase-II,Discontinued,ENG/CD105,Chimeric,False,False,False,0
casdozokitug,G1,Kappa,Phase-II,Active,IL27,Genetically human,False,False,False,0
caxmotabart,G1,Kappa,Phase-III,Active,ERBB2/CD340/HER2,Humanised,False,False,False,0
cemiplimab,G4,Kappa,Approved,Active,PDCD1/CD279/PD1,Genetically human,True,True,False,0
cendakimab,G1,Kappa,Phase-III,Active,IL13,Humanised,False,False,False,0
cenvacibart,G4,Kappa,TBC,TBC,F11,Genetically human,False,False,False,0
cenzestotug,G1,Kappa,TBC,TBC,TNFRSF4/CD134/OX40,Chimeric and/or humanised,False,False,False,0
cepeprubart,G2,Kappa,Phase-II,Active,SELPLG/CD162/PSGL1,Genetically human,False,False,False,0
cetrelimab,G4,Kappa,Phase-III,Active,PDCD1/CD279/PD1,Genetically human,False,False,False,0
cetuximab,G1,Kappa,Approved,Active,EGFR/ERBB1/HER1,Chimeric,True,True,False,0
cifurtilimab,G1,Kappa,Phase-II,Active,TNFRSF5/CD40,Genetically human,False,False,False,0
ciletatug,G1,Kappa,Phase-I/II,Active,CLDN18,Humanised,False,False,False,0
cilgavimab,G1,Kappa,Approved,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
ciltistotug,G2,Kappa,TBC,TBC,TNFRSF5/CD40,Chimeric and/or humanised,False,False,False,0
cinpanemab,G1,Lambda,Phase-II,Discontinued,SNCA/PARK1/PARK4,Genetically human,False,False,False,0
cixutumumab,G1,Lambda,Phase-II,Discontinued,IGF1R/CD221,Genetically human,False,False,False,0
claseprubart,G4,Kappa,TBC,TBC,C1S,Genetically human,False,False,False,0
clazakizumab,G1,Kappa,Phase-III,Active,IL6,Humanised,False,False,False,0
clesrovimab,G1,Kappa,Preregistration,Active,RSV gpF,Genetically human,True,False,False,0
cliramitug,G1,Kappa,TBC,TBC,Misfolded TTR,Genetically human,False,False,False,0
cobolimab,G4,Kappa,Phase-III,Active,HAVCR2/TIM3,Humanised,False,False,False,0
codrituzumab,G1,Kappa,Phase-II,Active,GPC3,Humanised,False,False,False,0
comekibart,G4,Kappa,Phase-III,Active,IL4R/CD124,Humanised,False,False,False,0
conatumumab,G1,Kappa,Phase-II,Discontinued,TNFRSF10B/CD262/DR5/TRAILR2,Genetically human,False,False,False,0
concizumab,G4,Kappa,Approved,Active,TFPI,Humanised,True,True,False,0
coprelotamab,G1,Kappa,Phase-III,Active,ERBB2/CD340/HER2,Humanised,False,False,False,0
coramitug,G1,Kappa,Phase-II,Active,Misfolded TTR,Chimeric,False,False,False,0
cosfroviximab,G1,Kappa,Phase-II,Active,Zaire Ebolavirus Glycoprotein,Chimeric,False,False,False,0
cosibelimab,G1,Lambda,Approved,Active,PDL1/CD274,Genetically human,True,False,False,0
crebankitug,G1,Lambda,Phase-II,Active,IL7R/CD127,Genetically human,False,False,False,0
crenezumab,G4,Kappa,Phase-II,Discontinued,APP,Humanised,False,False,False,0
crexavibart,G1,Lambda,Phase-II/III,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
crizanlizumab,G2,Kappa,Approved,Active,SELP/CD62,Humanised,True,True,False,0
crotedumab,G4,Kappa,Phase-I,Discontinued,GCGR,Genetically human,False,False,False,0
crovalimab,G1,Kappa,Approved,Active,C5,Genetically human,True,True,True,0
crusekitug,G1,Kappa,TBC,TBC,IL17A,Humanised,False,False,False,0
cudarolimab,G1,Kappa,Phase-I,Discontinued,TNFRSF4/CD134/OX40,Genetically human,False,False,False,0
cusatuzumab,G1,Lambda,Phase-II,Active,CD70,Humanised,False,False,False,0
dacetuzumab,G1,Kappa,Phase-II,Discontinued,TNFRSF5/CD40,Humanised,False,False,False,0
daclizumab,G1,Kappa,Approved,Active,IL2RA/CD25,Humanised,False,True,False,1
dafsolimab,G2b,Kappa,Phase-III,Active,CD3E,Murine,False,False,False,0
dalidnetug,G1,Kappa,TBC,TBC,APP,Humanised,False,False,False,0
dalnicastobart,G1,Kappa,Phase-I,Active,TNFRSF5/CD40,Genetically human,False,False,False,0
dalotuzumab,G1,Kappa,Phase-II,Discontinued,IGF1R/CD221,Humanised,True,False,False,1
daratumumab,G1,Kappa,Approved,Active,ADPRC1/CD38,Genetically human,True,True,False,1
daretabart,G1,Kappa,TBC,TBC,Ganglioside GD2,Chimeric and/or humanised,False,False,False,0
dargistotug,G1,Kappa,Phase-II,Active,TIGIT/WUCAM/VSTM3,Genetically human,False,False,False,0
datopotamab,G1,Kappa,Approved,Active,TACSTD2/TROP2/EGP1,Humanised,True,False,False,0
daxdilimab,G1,Lambda,Phase-II,Active,LILRA4/CD85g,Genetically human,False,False,False,0
dazukibart,G1,Kappa,Phase-III,Active,IFNB1,Humanised,False,False,False,0
dectrekumab,G1,Kappa,Phase-II,Discontinued,IL13,Genetically human,False,False,False,0
delpacibart,G1,Kappa,Phase-III,Active,TFRC/CD71,Humanised,False,False,False,0
demcizumab,G2,Kappa,Phase-I,Discontinued,DLL4,Humanised,False,False,False,0
demupitamab,G1,Kappa,Phase-I,Active,EGFR/ERBB1/HER1,Genetically human,False,False,False,0
denikitug,G1,Kappa,Phase-I,Discontinued,CCR8/CKR-L1/CDw198,Humanised,False,False,False,0
denosumab,G2,Kappa,Approved,Active,TNFSF11/CD254/RANKL/TRANCE/OPGL/ODF,Genetically human,True,True,False,38
denrakibart,G2,Kappa,Phase-II,Active,CCL17/ABCD-2/SCYA17/TARC,Genetically Human,False,False,False,0
depemokimab,G1,Kappa,Phase-III,Active,IL5,Humanised,True,True,False,0
devextinetug,G2,Kappa,Phase-II,Active,Metamphetamine,Chimeric,False,False,False,0
dezamizumab,G1,Kappa,Phase-II,Discontinued,APCS/SAP,Humanised,False,False,False,0
dibotatug,G1,Kappa,Phase-I/II,Active,KLRD1/CD94,Genetically human,False,False,False,0
dinutuximab,G1,Kappa,Approved,Active,Ganglioside GD2,Chimeric,True,True,False,0
diridavumab,G1,Lambda,Phase-II,Active,Influenza A HA2,Genetically human,False,False,False,0
divozilimab,G1,Kappa,Phase-III,Active,MS4A1/CD20,Chimeric and/or humanised,False,False,False,0
domagrozumab,G1,Kappa,Phase-II,Discontinued,MSTN/GDF8/GDF-8,Humanised,False,False,False,0
domvanalimab,G1,Kappa,Phase-III,Active,TIGIT/WUCAM/VSTM3,Humanised,False,False,False,0
donanemab,G1,Kappa,Approved,Active,APP,Humanised,True,True,False,0
donitabart,G1,Kappa,Phase-I,Discontinued,Ganglioside GD2,Humanised,False,False,False,0
dostarlimab,G4,Kappa,Approved,Active,PDCD1/CD279/PD1,Humanised,True,True,False,0
dresbuxelimab,G1,Kappa,Phase-I/II,Active,NT5E/CALJA/CD73,Humanised,False,False,False,0
drotokibart,G4,Kappa,Phase-III,Active,IL4R/CD124,Humanised,False,False,False,0
drozitumab,G1,Lambda,Phase-II,Discontinued,TNFRSF10B/CD262/DR5/TRAILR2,Genetically human,False,False,False,0
duligotuzumab,G1,Kappa,Phase-II,Discontinued,ERBB3/HER3,Humanised,False,False,False,0
dupilumab,G4,Kappa,Approved,Active,IL4R/CD124,Genetically human,True,True,False,0
durvalumab,G1,Kappa,Approved,Active,PDL1/CD274,Genetically human,True,True,False,0
dusigitumab,G2,Lambda,Phase-II,Discontinued,IGF1 and IGF2,Genetically human,False,False,False,0
duvakitug,G1,Lambda,Phase-II,Active,TNFSF15/TL1A/VEGI,Genetically human,False,False,False,0
ebdarokimab,G1,Kappa,Approved,Active,IL12B/CLMFp40,Humanised,False,False,False,0
eblasakimab,G4,Kappa,Phase-II,Active,IL13RA1/CD213A1,Genetically human,False,False,False,0
ebrasodebart,G4,Lambda,Phase-I,Active,TMEM219/IGFBP-3R,Genetically human,False,False,False,0
ebronucimab,G1,Lambda,Approved,NFD,PCSK9,Genetically human,False,False,False,0
ecleralimab,G1,Lambda,Phase-II,Active,TSLP,Genetically human,False,False,False,0
eclutatug,G1,Kappa,Phase-I/II,Active,CLDN1,Humanised,False,False,False,0
ecromeximab,G1,Kappa,Phase-II,Discontinued,GD3 ganglioside,Chimeric,False,False,False,0
eculizumab,G2,Kappa,Approved,Active,C5,Humanised,True,True,False,3
edrecolomab,G2a,Kappa,Approved (w),NFD,EPCAM/CD326,Murine,False,False,False,0
efalizumab,G1,Kappa,Approved,NFD,ITGAL/CD11A/LFA1A,Genetically human,False,True,False,0
eglatoprutug,G1,Kappa,TBC,Active,KIT/CD117,Humanised,False,False,False,0
eldelumab,G1,Kappa,Phase-II,Discontinued,CXCL10/IP10,Genetically human,False,False,False,0
elegrobart,G1,Kappa,TBC,TBC,TBC,Chimeric and/or humanised,False,False,False,0
elezanumab,G1,Lambda,Phase-II,Active,RGMA,Humanised,False,False,False,0
elgemtumab,G1,Kappa,Phase-I/II,Discontinued,ERBB3/HER3,Genetically human,False,False,False,0
elipovimab,G1,Lambda,Phase-I,Discontinued,HIV-1 gp120,Genetically human,False,False,False,0
elotuzumab,G1,Kappa,Approved,NFD,SLAMF7/CD319,Humanised,True,True,False,0
eltivutabart,G4,Kappa,Phase-II,Active,ENTPD1/CD39,Genetically human,False,False,False,0
eltrekibart,G4,Kappa,Phase-II,Active,CXCL1/CXCL2/CXCL3/CXCL5/CXCL6/CXCL7/CXCL8,Humanised,False,False,False,0
emactuzumab,G1,Kappa,Phase-III,Active,CSF1R/CD115/M-CSFR,Humanised,False,False,False,0
emapalumab,G1,Lambda,Approved,NFD,IFNG,Genetically human,True,False,False,0
emibetuzumab,G4,Kappa,Phase-II,Active,MET/HGFR,Humanised,False,False,False,0
emiltatug,G1,Kappa,Phase-I,Active,VTCN1/B7H4,Genetically human,False,False,False,0
empasiprubart,G1,Kappa,Phase-III,Active,C2,Humanised,False,False,False,0
emugrobart,G1,Kappa,Phase-II/III,Active,ENTPD1/CD39,Humanised,False,False,False,0
emunkitug,G1,Kappa,Phase-I,Active,TNFRSF1B/TNFR2/CD120b/TNFR80/p75,Humanised,False,False,False,0
enavatuzumab,G1,Kappa,Phase-I,Discontinued,TNFRSF12A/CD266/TWEAKR,Humanised,False,False,False,0
encelimab,G4,Kappa,Phase-I,Active,LAG3/CD223,Humanised,False,False,False,0
enibarcimab,G1,Kappa,Phase-II,Active,ADM,Chimeric and/or humanised,False,False,False,0
enlonstobart,G4,Kappa,Approved,Active,PDCD1/CD279/PD1,Genetically human,False,False,False,0
enoblituzumab,G1,Kappa,Phase-II,Active,B7H3/CD276,Humanised,False,False,False,0
enokizumab,G1,Kappa,Phase-II,Discontinued,IL9,Genetically human,False,False,False,0
enoticumab,G1,Kappa,Phase-I,Discontinued,DLL4,Genetically human,False,False,False,0
ensituximab,G1,Kappa,Phase-II,Active,MUC5AC,Chimeric,False,False,False,0
enuzovimab,G4,Kappa,Phase-I,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
enzelkitug,G1,Kappa,TBC,TBC,CCR8/CKR-L1/CDw198,Humanised,False,False,False,0
epacmarstobart,G1,Kappa,Phase-I,Discontinued,SIRPA,Chimeric and/or humanised,False,False,False,0
epratuzumab,G1,Kappa,Phase-III,Discontinued,SIGLEC2/CD22,Humanised,False,False,False,0
eptinezumab,G1,Kappa,Approved,Active,CALCA and CALCB,Humanised,True,True,False,0
erenumab,G2,Lambda,Approved,NFD,CALCRL,Genetically human,True,True,False,0
erlizumab,G1,Kappa,Phase-II,Discontinued,ITGB2/CD18,Humanised,False,False,False,0
ersodetug,G2,Kappa,Phase-III,Active,INSR/CD220,Genetically human,False,False,False,0
erzotabart,G1,Kappa,Phase-I/II,Active,ADPRC1/CD38,Genetically human,False,False,False,0
etalanetug,G1,Kappa,Phase-II/III,Active,MAPT,Humanised,False,False,False,0
etaracizumab,G1,Kappa,Phase-II,Discontinued,ITGAVB3/CD61/VNR,Humanised,False,False,False,0
etesevimab,G1,Kappa,Approved,NFD,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
etigilimab,G1,Kappa,Phase-II,Active,TIGIT/WUCAM/VSTM3,Humanised,False,False,False,0
etokimab,G1,Kappa,Phase-II,Discontinued,IL13,Humanised,False,False,False,0
etrolizumab,G1,Kappa,Phase-III,Discontinued,ITGA4B7 and ITGAEB7,Humanised,False,False,False,0
eurestobart,G1,Kappa,Phase-I,Active,ENTPD1/CD39,Humanised,False,False,False,0
evalstotug,G1,Kappa,Phase-I/II,Active,CTLA4/CD152,Genetically human,False,False,False,0
evinacumab,G4,Kappa,Approved,Active,ANGPTL3,Genetically human,True,True,False,0
evolocumab,G2,Lambda,Approved,Active,PCSK9,Genetically human,True,True,False,0
evunzekibart,G4,Kappa,Phase-I,Active,TNFRSF9/CD137/4-1BB,Genetically human,False,False,False,0
exbivirumab,G1,Lambda,Phase-II,Discontinued,Hepatitis B Surface Antigen,Genetically human,False,False,False,0
exerenibart,G4,Kappa,TBC,TBC,TMPRSS6/MT2,Genetically human,False,False,False,0
exidavnemab,G4,Kappa,Phase-II,Active,SNCA/PARK1/PARK4,Chimeric and/or humanised,False,False,False,0
exlinkibart,G1,Kappa,Phase-II,Active,TNFRSF9/CD137/4-1BB,Humanised,False,False,False,0
ezabenlimab,G4,Kappa,Phase-II,Active,PDCD1/CD279/PD1,Humanised,False,False,False,0
falbikitug,G1,Kappa,Phase-II,Active,LIF,Humanised,False,False,False,0
farletuzumab,G1,Kappa,Phase-III,Discontinued,FOLR1,Humanised,False,False,False,0
fasinumab,G4,Kappa,Phase-III,Discontinued,NGFB,Genetically human,False,False,False,0
favezelimab,G4,Kappa,Phase-II,Active,LAG3/CD223,Humanised,False,False,False,0
feladilimab,G4,Kappa,Phase-III,Active,ICOS/CD278,Humanised,False,False,False,0
felmetatug,G1,Kappa,Phase-I,Active,VTCN1/B7H4,Genetically human,False,False,False,0
felzartamab,G1,Lambda,Preregistration,Active,ADPRC1/CD38,Humanised,False,False,False,0
fepixnebart,G4,Kappa,Phase-II,Active,EREG,Humanised,False,False,False,0
fezakinumab,G1,Lambda,Phase-I,Discontinued,IL22,Genetically human,False,False,False,0
fianlimab,G4,Kappa,Phase-III,Active,LAG3/CD223,Genetically human,False,False,False,0
